900140947;Salvemos A Cristian;Buenos Aires;San Cristobal ;Calle 2B # 20-20;4.597426, -74.092616
830058120;Asociación Hogar Fervor Fe Esperanza Rehab. Vida Y Amor;Sociego;San Cristobal ;Carrera  9A #14-03 Sur;4.579213, -74.091215
830123612;Fundación Gotas De Misericordia;Prados Alameda;Fontibón;Carrera  137 A # 17 A - 59;4.696741, -74.169240
860020076;Orden De Hermanos Menores Capuchinos;Prado Pinzon;Suba;Carrera  49 # 138 - 70;4.725127, -74.053923
900602992;Fundacion Hogar Canitas Saludables;Centro;Chapinero;Carrera  9 # 2 - 30;5.021580, -74.004001
830111643;Fundacion Hogar De Abuelitos Fe Y Luz;Santa Isabel;Los Martires;Calle  1A # 28 - 56 ;4.596696, -74.103915
900066907;Fundacion Colombia nuevos Horizontes;Ricaurte Urb Santa Helena;Los Martires;Calle  23 # 5 - 32 Este;4.577217, -74.209221
900969994;Fundación Sonrisas Milagrosas;Modelia;Fontibón;Carrera   85B # 25B - 34;4.673267, -74.121077
900848805;Fundacion Familias Creciendo Con Amor;Escuelas;Santa Fé;Carrera  3 # 10 - 21;4.587566, -74.187049
860027139;Orden De Los Calleerigos Regulares Somascos;Britalia norte;Suba;Calle 167 #62 - 31;4.750193, -74.062038
900881804;Fundacion El Renacer;normandia;Engativá;Calle 48A #70D-34;4.665652, -74.108968
900868810;Fundacion Desafios;Fontibon;Fontibón;Calle 25D #81A - 66;4.671542, -74.118868
900793082;Fundacion Purisima Concepcion De Maria;Atahualpa;Fontibón;Calle 22I # 114 - 37;4.686963, -74.148034
900085682;Corporacion Orientar Para Crecer;Samper Mendoza;Los Martires;Calle 24 # 19B -16;4.618546, -74.078509
800232366;Corporacion Prosol Proyecto Solidaridad;Juan Rey -nueva;San Cristobal ;Calle 119 # 2-29;4.697446, -74.035014
830040877;Fundación Para La Cultura Y La Paz Social Imago;Juaquín del Vaticano;Ciudad Bolivar;Diagonal 81A Bis Sur #17 D - 15 ;4.534854, -74.142389
830130932;Asociacion De Padres Pronutricion niños Del Futuro - Apronif;La Sureña - Santa Librada;Usme;Transv. 2 Este # 75 - 21 Sur ;4.586773, -74.188214
830501182;Fundación Serviamor;Bosa Charles De Gaulle;Bosa;Diagonal73G Sur #79A-40;4.607734, -74.201205
900154276;Fundación El nuevo Amanecer Del Abuelo Zona 7;Gran Britalia;Kennedy;Calle 54B Sur # 80J - 02;4.617209, -74.176478
900258814;Fundación Fuente De Vida;normandía ;Engativá;Calle 56A #71-35 ;4.642015, -74.062283
